Post Graduation
M B A
M\.B\.A
P G D M
P\.G\.D\.M
P\. G\. D\. M
P \.G \.D \.M
PG\.D
P\.G
P\. G
P \.G
PG
M M S
M\.M\.S
M \.M \.S
M\. A
M \.A
M\.A
M\.COM
M COM
MCOM
M \.COM
M\. COM
M Sc
M\. Sc
M\.Sc
M \.Sc
M C A
M\.C\.A
MCA
M\. C\. A
M \.C \.A
MTECH
M TECH
M \.TECH
M\.TECH
M\. TECH
M\.PHARMA
M\. PHARMA
M\. PHARM
M PHARM
M \.PHARM
M PHARMA
M \.PHARMA
P G D B A
P\.G\.D\.B\.A
P\. G\. D\. B\. A
P \.G \.D \.B \.A
P G D B M
P\.G\.D\.B\.M
P\. G\. D\. B\. M
P \.G \.D \.B \.M
M PHIL
M \.PHIL
M\. PHIL
M\.PHIL
M\. M\. M
M \.M \.M
M M M
MFM
M\.M\.M
M F M
M\. F\. M
M \.F \.M
M\.F\.M
M\.D\.S
M\. D\. S
M \.D \.S
M D S
MDS
P G P
P\.G\.P
P \.G \.P
P\. G\. P
PGP
P G D M S
P\.G\.D\.M\.S
P\. G\. D\. M\. S
P \.G \.D \.M \.S
PGDMS
M S W
M\.S\.W
M\. S\. W
M \.S \.W
MSW
M H R M
M\.H\.R\.M
M\. H\. R\. M
M \.H \.R \.M
MHRM
M Ed
M\.Ed
M\. Ed
M \.Ed
MEd
M M C
M\.M\.C
M\. M\. C
M \.M \.C
MMC
M Des
M\.Des
M \.Des
M\. Des
MDes
M D
M\.D
M\. D
M \.D
M Stat
M\.Stat
M\. Stat
M \.Stat
MStat
M S M
M\.S\.M
M\. S\. M
M \.S \.M
MSM
M H H M
M\.H\.H\.M
M\. H\. H\. M
M \.H \.H \.M
MHHM
M F M
M\.F\.M
M\. F\. M
M \.F \.M
MFM
M P Ed
M\.P\.Ed
M\. P\. Ed
M \.P \.Ed
MPEd
L L M
L\.L\.M
L\. L\. M
L \.L \.M
M\.PHARM
PGDBA
PGDBM
LLM
MMS
MBA
PGDM
M E
M\.E
M\. E
M \.E 
POST GRAD
POST-GRAD
POST - GRAD
PG DIPLOMA
MASTERS
MASTER'S
Master of
POSTGRADUATE
POST-GRADUATE
POST - GRADUATE
POST GRADUATE
POST GRADUATION
EXECUTIVE PROGRAM
EXECUTIVE PROGRAM IN
EXECUTIVE PROGRAM OF
PGDC
PGDB
MFA
